CALENDAR DATE,CALENDAR TIME,SYMBO,LAST PRICE,LAST SHARES,SIDE
05/27/09,39960.31948,F2 ZN\M09,118.46875,1,1
05/27/09,39960.31948,F2 ZN\M09,118.46875,1,1
05/27/09,39960.31948,F2 ZN\M09,118.46875,7,1
05/27/09,39960.31948,F2 ZN\M09,118.46875,6,1
05/27/09,39960.32643,F2 ZN\M09,118.546875,3,1
05/27/09,39960.33337,F2 ZN\M09,118.546875,1,1
05/27/09,39960.34031,F2 ZN\M09,118.578125,1,1
05/27/09,39960.34726,F2 ZN\M09,118.609375,15,0
05/27/09,39960.3542,F2 ZN\M09,118.640625,3,1
05/27/09,39960.3542,F2 ZN\M09,118.640625,13,1
05/27/09,39960.36115,F2 ZN\M09,118.640625,12,0
05/27/09,39960.36809,F2 ZN\M09,118.484375,15,0
05/27/09,39960.36809,F2 ZN\M09,118.484375,3,0
05/27/09,39960.38198,F2 ZN\M09,118.46875,7,1
05/27/09,39960.38198,F2 ZN\M09,118.46875,1,1
05/27/09,39960.38199,F2 ZN\M09,118.46875,1,1
05/27/09,39960.38199,F2 ZN\M09,118.46875,1,1
05/27/09,39960.38199,F2 ZN\M09,118.46875,8,1
05/27/09,39960.38892,F2 ZN\M09,118.4375,6,0
05/27/09,39960.38892,F2 ZN\M09,118.4375,4,0
05/27/09,39960.38892,F2 ZN\M09,118.4375,7,0
05/27/09,39960.39587,F2 ZN\M09,118.40625,2,1
05/27/09,39960.40282,F2 ZN\M09,118.40625,1,0
05/27/09,39960.40976,F2 ZN\M09,118.421875,4,1
05/27/09,39960.40976,F2 ZN\M09,118.421875,3,1
05/27/09,39960.40976,F2 ZN\M09,118.421875,3,1
05/27/09,39960.40976,F2 ZN\M09,118.421875,2,1
05/27/09,39960.40976,F2 ZN\M09,118.421875,1,1
05/27/09,39960.40976,F2 ZN\M09,118.421875,3,1
05/27/09,39960.40976,F2 ZN\M09,118.421875,3,1
05/27/09,39960.41671,F2 ZN\M09,118.234375,3,0
05/27/09,39960.41671,F2 ZN\M09,118.234375,5,0
05/27/09,39960.41671,F2 ZN\M09,118.234375,6,0
05/27/09,39960.41671,F2 ZN\M09,118.234375,1,0
05/27/09,39960.41671,F2 ZN\M09,118.25,6,0
05/27/09,39960.42365,F2 ZN\M09,118.34375,5,1
05/27/09,39960.42365,F2 ZN\M09,118.34375,10,1
05/27/09,39960.42365,F2 ZN\M09,118.34375,2,1
05/27/09,39960.42365,F2 ZN\M09,118.34375,7,1
05/27/09,39960.43059,F2 ZN\M09,118.359375,3,0
05/27/09,39960.43754,F2 ZN\M09,118.21875,22,0
05/27/09,39960.44448,F2 ZN\M09,118.234375,1,1
05/27/09,39960.44448,F2 ZN\M09,118.234375,1,1
05/27/09,39960.44448,F2 ZN\M09,118.234375,6,1
05/27/09,39960.44448,F2 ZN\M09,118.234375,6,1
05/27/09,39960.44448,F2 ZN\M09,118.234375,4,1
05/27/09,39960.44448,F2 ZN\M09,118.234375,3,1
05/27/09,39960.44448,F2 ZN\M09,118.234375,2,1
05/27/09,39960.45143,F2 ZN\M09,118.296875,2,1
05/27/09,39960.45838,F2 ZN\M09,118.328125,2,0
05/27/09,39960.46532,F2 ZN\M09,118.390625,1,0
05/27/09,39960.47226,F2 ZN\M09,118.40625,2,1
05/27/09,39960.47921,F2 ZN\M09,118.4375,5,0
05/27/09,39960.49309,F2 ZN\M09,118.484375,1,1
05/27/09,39960.50004,F2 ZN\M09,118.453125,2,0
05/27/09,39960.50004,F2 ZN\M09,118.453125,6,0
05/27/09,39960.50004,F2 ZN\M09,118.453125,7,0
05/27/09,39960.50004,F2 ZN\M09,118.453125,1,0
05/27/09,39960.50004,F2 ZN\M09,118.453125,2,0
05/27/09,39960.50698,F2 ZN\M09,118.359375,1,1
05/27/09,39960.50698,F2 ZN\M09,118.359375,2,1
05/27/09,39960.51393,F2 ZN\M09,118.28125,2,1
05/27/09,39960.52088,F2 ZN\M09,118.359375,18,1
05/27/09,39960.52782,F2 ZN\M09,118.40625,3,0
05/27/09,39960.53476,F2 ZN\M09,118.5,1,1
05/27/09,39960.54171,F2 ZN\M09,118.53125,1,1
05/27/09,39960.54865,F2 ZN\M09,118.5,8,0
05/27/09,39960.54865,F2 ZN\M09,118.5,5,0
05/27/09,39960.54865,F2 ZN\M09,118.5,10,0
05/27/09,39960.5556,F2 ZN\M09,118.375,4,1
05/27/09,39960.56253,F2 ZN\M09,118.109375,3,0
05/27/09,39960.56948,F2 ZN\M09,118.03125,8,0
05/27/09,39960.58338,F2 ZN\M09,117.609375,1,1
05/27/09,39960.59032,F2 ZN\M09,117.53125,1,1
05/27/09,39960.59727,F2 ZN\M09,117.5,1,0
05/27/09,39960.60421,F2 ZN\M09,117.46875,20,1
05/27/09,39960.61115,F2 ZN\M09,117.640625,3,1
05/27/09,39960.61115,F2 ZN\M09,117.625,5,1
05/27/09,39960.6181,F2 ZN\M09,117.640625,3,0
05/27/09,39960.6181,F2 ZN\M09,117.640625,2,0
05/27/09,39960.62504,F2 ZN\M09,117.53125,10,0
05/27/09,39960.62504,F2 ZN\M09,117.53125,2,0
05/27/09,39960.62504,F2 ZN\M09,117.53125,5,0
05/27/09,39960.62504,F2 ZN\M09,117.53125,1,0
05/27/09,39960.62504,F2 ZN\M09,117.53125,7,0
05/27/09,39960.632,F2 ZN\M09,117.53125,26,1
05/27/09,39960.63892,F2 ZN\M09,117.375,5,0
05/27/09,39960.63892,F2 ZN\M09,117.375,2,0
05/27/09,39960.63892,F2 ZN\M09,117.375,1,0
05/27/09,39960.63892,F2 ZN\M09,117.390625,14,0
05/27/09,39960.63892,F2 ZN\M09,117.390625,2,0
05/27/09,39960.63892,F2 ZN\M09,117.390625,2,0
05/27/09,39960.64587,F2 ZN\M09,117.453125,2,1
05/27/09,39960.64587,F2 ZN\M09,117.453125,2,1
05/27/09,39960.64587,F2 ZN\M09,117.453125,1,1
05/27/09,39960.64587,F2 ZN\M09,117.453125,2,1
05/27/09,39960.64587,F2 ZN\M09,117.453125,2,1
